days;spei
1901-01-16;-0.75538
1901-02-15;1.3347
1901-03-16;0.60468
1901-04-16;1.5531
1901-05-16;0.48295
1901-06-16;0.57449
1901-07-16;-0.48378
1901-08-16;-0.21971
1901-09-16;0.38776
1901-10-16;0.16323
1901-11-16;0.20976
1901-12-16;0.628
1902-01-16;0.21573
1902-02-15;0.62171
1902-03-16;-0.5956
1902-04-16;-0.44474
1902-05-16;-0.18758
1902-06-16;1.052
1902-07-16;-0.35112
1902-08-16;-1.622
1902-09-16;-0.43942
1902-10-16;1.7613
1902-11-16;0.69102
1902-12-16;1.4379
1903-01-16;0.42566
1903-02-15;0.62171
1903-03-16;-0.19918
1903-04-16;-1.6407
1903-05-16;0.45836
1903-06-16;0.71511
1903-07-16;1.2708
1903-08-16;0.10154
1903-09-16;0.53126
1903-10-16;-0.26777
1903-11-16;1.0549
1903-12-16;1.4119
1904-01-16;1.0153
1904-02-15;0.65339
1904-03-16;1.3459
1904-04-16;0.66103
1904-05-16;1.3411
1904-06-16;1.5649
1904-07-16;0.099483
1904-08-16;-1.2449
1904-09-16;-1.2452
1904-10-16;0.40759
1904-11-16;-1.2437
1904-12-16;-0.24248
1905-01-16;0.66991
1905-02-15;1.9165
1905-03-16;0.65449
1905-04-16;-0.51479
1905-05-16;-0.20277
1905-06-16;-0.51381
1905-07-16;-1.1736
1905-08-16;-0.32748
1905-09-16;-1.8743
1905-10-16;0.15273
1905-11-16;-0.67577
1905-12-16;-0.24248
1906-01-16;2.0217
1906-02-15;0.62171
1906-03-16;-0.19918
1906-04-16;-1.9928
1906-05-16;-0.88723
1906-06-16;1.3191
1906-07-16;-0.035174
1906-08-16;1.5624
1906-09-16;-0.014249
1906-10-16;0.42996
1906-11-16;-0.75374
1906-12-16;1.7279
1907-01-16;0.38406
1907-02-15;0.62171
1907-03-16;0.57921
1907-04-16;2.1205
1907-05-16;-1.6148
1907-06-16;0.88519
1907-07-16;0.15409
1907-08-16;1.5238
1907-09-16;1.4475
1907-10-16;-1.8854
1907-11-16;0.20976
1907-12-16;0.85615
1908-01-16;0.17325
1908-02-15;1.1517
1908-03-16;1.4045
1908-04-16;0.23273
1908-05-16;-0.65379
1908-06-16;-0.14645
1908-07-16;1.0676
1908-08-16;-0.056338
1908-09-16;-0.89933
1908-10-16;-1.6344
1908-11-16;-1.1329
1908-12-16;0.21355
1909-01-16;1.7414
1909-02-15;0.62171
1909-03-16;0.4459
1909-04-16;-1.0961
1909-05-16;0.56237
1909-06-16;-0.25651
1909-07-16;0.5029
1909-08-16;0.67035
1909-09-16;-0.25443
1909-10-16;-1.0568
1909-11-16;-0.025928
1909-12-16;0.57074
1910-01-16;0.17325
1910-02-15;0.62171
1910-03-16;0.9548
1910-04-16;-0.98912
1910-05-16;0.51214
1910-06-16;-0.71201
1910-07-16;1.119
1910-08-16;1.5814
1910-09-16;-0.043019
1910-10-16;0.33797
1910-11-16;0.87084
1910-12-16;-0.24248
1911-01-16;0.17325
1911-02-15;1.4819
1911-03-16;-0.054755
1911-04-16;-0.57977
1911-05-16;-0.37008
1911-06-16;-0.34122
1911-07-16;0.5029
1911-08-16;0.13031
1911-09-16;-0.8748
1911-10-16;0.32355
1911-11-16;-0.29346
1911-12-16;0.16166
1912-01-16;0.17325
1912-02-15;-0.30565
1912-03-16;-0.19918
1912-04-16;-0.2793
1912-05-16;-0.53948
1912-06-16;0.23623
1912-07-16;0.01581
1912-08-16;0.72818
1912-09-16;0.23441
1912-10-16;0.43605
1912-11-16;0.37928
1912-12-16;-0.065565
1913-01-16;1.3658
1913-02-15;-0.44843
1913-03-16;-0.19918
1913-04-16;-0.72996
1913-05-16;-0.40484
1913-06-16;-0.29267
1913-07-16;0.55367
1913-08-16;-1.0821
1913-09-16;-0.071896
1913-10-16;-0.2699
1913-11-16;-0.92786
1913-12-16;-0.49648
1914-01-16;0.17325
1914-02-15;-0.37708
1914-03-16;0.19478
1914-04-16;-1.0961
1914-05-16;-1.0299
1914-06-16;-0.72788
1914-07-16;0.67103
1914-08-16;1.785
1914-09-16;0.41425
1914-10-16;-0.90125
1914-11-16;0.30532
1914-12-16;1.8534
1915-01-16;1.4317
1915-02-15;0.92683
1915-03-16;1.4328
1915-04-16;0.18408
1915-05-16;0.24722
1915-06-16;0.83492
1915-07-16;0.76958
1915-08-16;-1.3415
1915-09-16;1.3024
1915-10-16;-1.0451
1915-11-16;0.90953
1915-12-16;1.4206
1916-01-16;0.17325
1916-02-15;0.62171
1916-03-16;-0.79047
1916-04-16;-0.87709
1916-05-16;1.4935
1916-06-16;0.15231
1916-07-16;-0.47704
1916-08-16;-0.24225
1916-09-16;0.25957
1916-10-16;0.31942
1916-11-16;1.7441
1916-12-16;-0.24248
1917-01-16;0.17325
1917-02-15;2.0511
1917-03-16;1.7909
1917-04-16;-1.3716
1917-05-16;-0.64721
1917-06-16;0.012721
1917-07-16;-1.1589
1917-08-16;0.74505
1917-09-16;1.9609
1917-10-16;1.4489
1917-11-16;1.4395
1917-12-16;-0.24248
1918-01-16;2.3256
1918-02-15;0.62171
1918-03-16;0.81758
1918-04-16;-0.51479
1918-05-16;0.2871
1918-06-16;-2.2363
1918-07-16;-2.2539
1918-08-16;-0.93463
1918-09-16;-0.16398
1918-10-16;-1.8013
1918-11-16;1.7396
1918-12-16;0.16166
1919-01-16;0.34225
1919-02-15;-0.34137
1919-03-16;-0.83516
1919-04-16;-1.4497
1919-05-16;0.20135
1919-06-16;1.5057
1919-07-16;-1.083
1919-08-16;-0.79681
1919-09-16;1.3419
1919-10-16;-0.48811
1919-11-16;1.5595
1919-12-16;-0.020392
1920-01-16;1.9948
1920-02-15;-0.44843
1920-03-16;-0.7026
1920-04-16;1.3078
1920-05-16;-0.43344
1920-06-16;-1.2553
1920-07-16;-0.39387
1920-08-16;-0.81773
1920-09-16;0.62796
1920-10-16;-0.26564
1920-11-16;-1.2194
1920-12-16;-0.24248
1921-01-16;-0.040553
1921-02-15;0.62171
1921-03-16;-0.16232
1921-04-16;1.2251
1921-05-16;-2.0221
1921-06-16;-0.22356
1921-07-16;-0.081914
1921-08-16;-0.53611
1921-09-16;-1.3352
1921-10-16;1.1083
1921-11-16;1.5306
1921-12-16;-0.24248
1922-01-16;0.90326
1922-02-15;0.89752
1922-03-16;-0.83516
1922-04-16;0.37815
1922-05-16;-0.61767
1922-06-16;-0.23552
1922-07-16;-0.18255
1922-08-16;-1.0851
1922-09-16;-1.7337
1922-10-16;-0.2699
1922-11-16;1.7474
1922-12-16;-0.19239
1923-01-16;0.749
1923-02-15;1.1786
1923-03-16;1.796
1923-04-16;-1.1723
1923-05-16;0.49759
1923-06-16;-1.6418
1923-07-16;2.2961
1923-08-16;0.44134
1923-09-16;-0.65758
1923-10-16;-1.9411
1923-11-16;-1.3573
1923-12-16;-0.57577
1924-01-16;-0.99231
1924-02-15;-0.44843
1924-03-16;-0.45109
1924-04-16;0.17425
1924-05-16;-0.46859
1924-06-16;0.055131
1924-07-16;1.6019
1924-08-16;0.02467
1924-09-16;0.12546
1924-10-16;-1.3286
1924-11-16;-0.26668
1924-12-16;1.0326
1925-01-16;1.3658
1925-02-15;0.62171
1925-03-16;-0.27441
1925-04-16;0.43226
1925-05-16;0.82284
1925-06-16;-0.23552
1925-07-16;0.28985
1925-08-16;-0.56841
1925-09-16;-0.39735
1925-10-16;-0.76603
1925-11-16;0.15871
1925-12-16;1.7186
1926-01-16;1.1598
1926-02-15;-0.26993
1926-03-16;-0.72438
